nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason
Dicalcium phosphate,E341II,SAFE,0.0925,0.47,560,133,0.239,27.0,Low negative evidence
Neutral methacrylate copolymer,E1206,SAFE,0.023,0.07,11,5,0.455,100.0,Low negative evidence
Mineral oil high viscosity,E905D,WATCHLIST,0.3179,1.0,4279,1265,0.296,35.0,Moderate concerns (SSI: 31.8%)
Zinc acetate,E650,SAFE,0.1144,0.59,865,183,0.212,36.0,Low negative evidence
Sodium ferrocyanide,E535,SAFE,0.0961,0.19,92,45,0.491,49.0,Low negative evidence
white and yellow beeswax,E901,SAFE,0.0322,0.12,39,10,0.259,46.0,Low negative evidence
Oligoesters of sucrose type I,E473A,UNKNOWN,0.0024,0.01,1,1,1.0,100.0,Insufficient research (1 papers)
Dehydroacetic acid,E265,SAFE,0.0817,0.29,206,52,0.256,59.0,Low negative evidence
Polyoxyethylene sorbitan monostearate,E435,SAFE,0.0481,0.16,66,22,0.347,60.0,Low negative evidence
Copper complexes of chlorophyllins,E141II,UNKNOWN,0.0224,0.01,1,2,2.5,0.0,Insufficient research (1 papers)
ammonium persulfate,E923,SAFE,0.0929,0.45,504,107,0.213,55.0,Low negative evidence
Partially hydrolyzed lecithin,E322II,SAFE,0.0359,0.04,10,5,0.54,42.0,Low negative evidence
Monopotassium phosphate,E340I,SAFE,0.0528,0.14,46,20,0.45,53.0,Low negative evidence
Alitame,E956,SAFE,0.0191,0.14,49,12,0.251,64.0,Low negative evidence
Cross-linked sodium carboxymethylcellulose,E468,SAFE,0.0499,0.15,53,16,0.302,59.0,Low negative evidence
Calcium formiate,E238,SAFE,0.0651,0.19,92,36,0.395,61.0,Low negative evidence
Stearyl citrate,E484,SAFE,0.0761,0.14,49,24,0.501,72.0,Low negative evidence
Monostarch phosphate,E1410,SAFE,0.043,0.07,12,7,0.609,62.0,Low negative evidence
DL-Alpha-tocopherol,E307C,SAFE,0.197,0.29,213,134,0.63,23.0,Low negative evidence
Chlorophylls,E140I,DANGEROUS,0.3931,1.0,3138,1372,0.437,33.0,High negative evidence
Enzymatically produced steviol glycosides,E960C,SAFE,0.0289,0.08,15,11,0.737,50.0,Low negative evidence
Sodium acetates,E262,SAFE,0.065,0.19,89,32,0.36,63.0,Low negative evidence
Polyoxyethylene sorbitan monolaurate,E432,SAFE,0.0444,0.17,76,21,0.283,60.0,Low negative evidence
Polydextrose,E1200,SAFE,0.0849,0.29,206,89,0.434,52.0,Low negative evidence
Titanium dioxide,E171,WATCHLIST,0.2897,1.0,17997,5647,0.314,43.0,Moderate concerns (SSI: 29.0%)
Sucrose esters of fatty acids,E473,SAFE,0.0397,0.15,54,15,0.285,68.0,Low negative evidence
Aluminium stearate,E573,SAFE,0.0385,0.13,40,12,0.3,62.0,Low negative evidence
Potassium carbonate,E501I,SAFE,0.0869,0.53,707,146,0.207,35.0,Low negative evidence
Alanin,E369,SAFE,0.1626,0.28,200,97,0.487,45.0,Low negative evidence
Algal carotenes,E160AIV,WATCHLIST,0.2538,0.53,711,380,0.535,31.0,Moderate concerns (SSI: 25.4%)
ethyl acetate,E1504,WATCHLIST,0.3082,1.0,8209,2858,0.348,40.0,Moderate concerns (SSI: 30.8%)
saffron,E164,SAFE,0.1764,0.59,876,264,0.301,49.0,Low negative evidence
Acetic acid,E260,WATCHLIST,0.3484,1.0,35969,13778,0.383,30.0,Moderate concerns (SSI: 34.8%)
Polyoxyethylene (8) stearate,E430,SAFE,0.0586,0.13,44,19,0.435,62.0,Low negative evidence
Calcium dihydrogen diphosphate,E450VII,WATCHLIST,0.3079,0.48,572,321,0.562,22.0,Moderate concerns (SSI: 30.8%)
Magnesium oxide,E530,SAFE,0.1936,1.0,2506,462,0.185,47.0,Low negative evidence
Triethyl citrate,E1505,SAFE,0.0402,0.19,90,17,0.195,39.0,Low negative evidence
Thiodipropionic acid,E388,SAFE,0.051,0.17,74,36,0.494,56.0,Low negative evidence
Karaya-gum,E416,SAFE,0.1003,0.22,118,44,0.376,62.0,Low negative evidence
Calcium sulphate,E516,SAFE,0.0522,0.29,205,38,0.188,44.0,Low negative evidence
Sodium hydrogen carbonate,E500II,SAFE,0.0649,0.21,110,40,0.372,44.0,Low negative evidence
Potassium adipate,E357,SAFE,0.0875,0.2,104,37,0.356,51.0,Low negative evidence
Carbon dioxide,E290,DANGEROUS,0.4082,1.0,90483,34609,0.382,40.0,High negative evidence
Sodium sorbate,E201,SAFE,0.0876,0.23,138,64,0.466,64.0,Low negative evidence
Microcrystalline wax,E905CI,SAFE,0.0109,0.09,19,2,0.118,50.0,Low negative evidence
Monosodium phosphate,E339I,SAFE,0.0613,0.2,99,34,0.345,15.0,Low negative evidence
maltitol,E965,SAFE,0.1296,0.32,251,107,0.428,52.0,Low negative evidence
Sodium metabisulphite,E223,SAFE,0.0761,0.26,171,55,0.327,62.0,Low negative evidence
Acetylated oxidised starch,E1451,SAFE,0.1023,0.23,132,70,0.538,35.0,Low negative evidence
Aspartame,E951,DANGEROUS,0.3801,0.65,1065,573,0.539,60.0,High negative evidence
Salt of aspartame-acesulfame,E962,SAFE,0.03,0.08,16,7,0.443,62.0,Low negative evidence
Hydroxy propyl distarch glycerol,E1443,UNKNOWN,0.0133,0.04,8,3,0.393,57.0,Insufficient research (8 papers)
Benzoin resin,E906,SAFE,0.0133,0.08,16,2,0.165,80.0,Low negative evidence
Microcrystalline cellulose,E460I,SAFE,0.1967,0.8,1584,433,0.274,32.0,Low negative evidence
Calcium lactobionate,E399,SAFE,0.0576,0.18,82,28,0.348,65.0,Low negative evidence
D-Alpha-tocopherol,E307A,SAFE,0.19,0.26,163,107,0.661,34.0,Low negative evidence
Steviol glycosides from Stevia,E960A,SAFE,0.1398,0.32,255,115,0.453,38.0,Low negative evidence
Annatto norbixin,E160BII,UNKNOWN,0.0071,0.01,2,0,0.375,50.0,Insufficient research (2 papers)
Argon,E938,SAFE,0.082,1.0,10985,1158,0.105,43.0,Low negative evidence
Desconocido,E390,SAFE,0.1058,0.23,134,60,0.455,83.0,Low negative evidence
Acetylated starch,E1421,SAFE,0.0722,0.19,91,32,0.353,48.0,Low negative evidence
Potassium polyphosphate,E452II,SAFE,0.1754,0.36,323,153,0.476,27.0,Low negative evidence
Magnesium chloride,E511,DANGEROUS,0.4094,1.0,2777,1208,0.435,25.0,High negative evidence
E411 food additive,E411,SAFE,0.0602,0.15,60,25,0.42,77.0,Low negative evidence
Ammonium Pectate,E440AIV,SAFE,0.0499,0.12,34,17,0.51,33.0,Low negative evidence
Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E472E,UNKNOWN,0.0057,0.02,3,2,0.667,100.0,Insufficient research (3 papers)
Pentasodium triphosphate,E451I,UNKNOWN,0.0217,0.04,9,1,0.192,25.0,Insufficient research (9 papers)
Ethyl ester of beta-apo-8'-carotenic acid (C 30),E160F,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found
Ethyl gallate,E313,SAFE,0.0709,0.26,173,52,0.306,54.0,Low negative evidence
Steviol glycosides,E960,SAFE,0.1943,0.36,320,155,0.485,53.0,Low negative evidence
Cassia gum,E427,SAFE,0.0474,0.17,72,20,0.291,64.0,Low negative evidence
Ammonium hydroxide,E527,SAFE,0.1526,0.68,1164,315,0.271,46.0,Low negative evidence
Yellow 2G,E107,SAFE,0.1264,0.32,257,116,0.453,67.0,Low negative evidence
Calcium salts of fatty acids,E470AIII,SAFE,0.024,0.05,45,19,0.433,3.0,Low negative evidence
Trisodium diphosphate,E450II,SAFE,0.0286,0.11,28,11,0.394,37.0,Low negative evidence
Calcium polyphosphate,E544,SAFE,0.0405,0.19,91,26,0.291,28.0,Low negative evidence
Alpha-tocopherol,E307,DANGEROUS,0.448,1.0,8374,5274,0.63,36.0,High negative evidence
Acid-treated modified starch,E1401,SAFE,0.0192,0.09,19,5,0.27,56.0,Low negative evidence
Sucrose acetate isobutyrate,E444,SAFE,0.0689,0.16,64,33,0.519,56.0,Low negative evidence
Carbamide,E927B,SAFE,0.0673,0.5,621,91,0.148,51.0,Low negative evidence
Distarch glycerine,E1430,UNKNOWN,0.0106,0.06,9,2,0.262,62.0,Insufficient research (9 papers)
Potassium citrates,E332,DANGEROUS,0.3505,0.78,1516,602,0.397,30.0,High negative evidence
Sodium hydrogen sulphate,E514II,UNKNOWN,0.0042,0.03,4,1,0.25,100.0,Insufficient research (4 papers)
Modified Starch,E14XX,SAFE,0.1491,0.54,724,121,0.168,33.0,Low negative evidence
Indigotine,E132,SAFE,0.0937,0.3,219,80,0.366,66.0,Low negative evidence
potassium iodate,E917,SAFE,0.0689,0.25,161,61,0.38,61.0,Low negative evidence
ammonium fumarate,E368,SAFE,0.0539,0.16,61,23,0.378,68.0,Low negative evidence
non-amidated pectines,E440I,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found
Tetrapotassium diphosphate,E450V,UNKNOWN,0.0012,0.04,9,0,0.076,40.0,Insufficient research (9 papers)
Isopropyl citrates,E384,SAFE,0.0462,0.15,56,21,0.387,62.0,Low negative evidence
Calcium sulphite,E226,SAFE,0.0439,0.18,84,24,0.288,69.0,Low negative evidence
Nitrous oxide,E942,DANGEROUS,0.3595,1.0,12703,3832,0.302,53.0,High negative evidence
Propionic acid,E280,DANGEROUS,0.3606,1.0,6533,2878,0.441,21.0,High negative evidence
Sodium salts of fatty acids,E470AI,UNKNOWN,0.0575,0.02,7,3,0.493,25.0,Insufficient research (7 papers)
Dimagnesium phosphate,E343II,UNKNOWN,0.0071,0.04,8,2,0.3,33.0,Insufficient research (8 papers)
Ethyl maltol,E637,SAFE,0.0885,0.17,76,31,0.408,56.0,Low negative evidence
Sodium tartrates,E335,SAFE,0.162,0.53,713,248,0.349,39.0,Low negative evidence
Carnauba wax,E903,SAFE,0.0453,0.27,178,21,0.119,37.0,Low negative evidence
L-cysteine hydrochloride monohydrate,E921,SAFE,0.0098,0.1,24,3,0.125,50.0,Low negative evidence
chloropentafluoroethane,E945,SAFE,0.0276,0.09,20,8,0.411,67.0,Low negative evidence
Konjac glucomannan,E425II,SAFE,0.1253,0.45,514,96,0.187,28.0,Low negative evidence
Alkaline sodium aluminium phosphate,E541II,UNKNOWN,0.0034,0.01,2,1,0.5,0.0,Insufficient research (2 papers)
Citric acid,E330,DANGEROUS,0.5037,1.0,19561,9335,0.477,36.0,High negative evidence
Nisin,E234,WATCHLIST,0.2745,0.95,2255,873,0.387,33.0,Moderate concerns (SSI: 27.4%)
Hydroxypropyl methyl cellulose,E464,SAFE,0.039,0.24,142,25,0.179,38.0,Low negative evidence
pectin amide,E440B,UNKNOWN,0.0,0.01,1,1,1.0,100.0,Insufficient research (1 papers)
sodium erythorbate,E316,SAFE,0.0802,0.23,131,49,0.379,38.0,Low negative evidence
hemimorphite,E557,SAFE,0.0406,0.15,57,16,0.283,75.0,Low negative evidence
Ethoxylated Mono- and Di-Glycerides,E488,SAFE,0.0561,0.14,48,21,0.452,76.0,Low negative evidence
Alpha-Cyclodextrine,E457,SAFE,0.0604,0.15,53,21,0.411,50.0,Low negative evidence
Tripotassium phosphate,E340III,UNKNOWN,-0.0001,0.02,8,0,0.075,0.0,Insufficient research (8 papers)
Indanthrene blue RS,E130,SAFE,0.0685,0.24,143,50,0.354,63.0,Low negative evidence
Sorbitol syrup,E420II,UNKNOWN,0.0,0.01,1,0,0.0,20.0,Insufficient research (1 papers)
calcium propionate,E282,SAFE,0.0949,0.29,205,79,0.388,34.0,Low negative evidence
Dichlorodifluoromethane,E940,SAFE,0.0789,0.21,111,37,0.336,42.0,Low negative evidence
Tartaric acid esters of mono- and diglycerides of fatty acids,E472D,UNKNOWN,0.0069,0.02,2,2,1.0,100.0,Insufficient research (2 papers)
Ammonium polyphosphate,E452V,SAFE,0.0524,0.36,319,23,0.072,40.0,Low negative evidence
Mono- and diglycerides of fatty acids,E471,SAFE,0.0649,0.15,59,23,0.407,46.0,Low negative evidence
Hexamethylene tetramine,E239,SAFE,0.0609,0.25,151,43,0.291,68.0,Low negative evidence
E571,E571,SAFE,0.0286,0.11,28,9,0.321,80.0,Low negative evidence
Enzymatically hydrolysed carboxymethylcellulose,E469,SAFE,0.0566,0.17,72,27,0.386,65.0,Low negative evidence
Cholic acid,E1000,DANGEROUS,0.6391,0.9,2039,1178,0.578,27.0,High negative evidence
Aluminium,E173,WATCHLIST,0.2549,1.0,10055,2619,0.261,49.0,Moderate concerns (SSI: 25.5%)
Sodium tetraborate (borax),E285,SAFE,0.0654,0.2,98,33,0.346,70.0,Low negative evidence
Riboflavin,E101I,DANGEROUS,0.6887,1.0,8497,4670,0.55,46.0,High negative evidence
Polyvinyl alcohol-polyethylene glycol-graft-co-polymer,E1209,SAFE,0.0063,0.08,15,1,0.108,67.0,Low negative evidence
Ammonium carbonate,E503I,SAFE,0.0595,0.31,244,47,0.193,30.0,Low negative evidence
Potassium hydrogen carbonate,E501II,SAFE,0.0135,0.08,16,4,0.281,80.0,Low negative evidence
Brilliant blue FCF,E133,SAFE,0.0777,0.33,277,74,0.268,66.0,Low negative evidence
Potassium acetate,E261,SAFE,0.1211,0.45,517,144,0.28,24.0,Low negative evidence
Polyoxyethylene (40) stearate,E431,SAFE,0.0458,0.15,53,15,0.292,65.0,Low negative evidence
Synthetic wax,E905,SAFE,0.0319,0.12,34,9,0.288,43.0,Low negative evidence
Astaxanthin,E161J,DANGEROUS,0.3767,0.93,2148,965,0.45,27.0,High negative evidence
Calcium citrates,E333,DANGEROUS,0.526,0.94,2228,1102,0.495,37.0,High negative evidence
Acetylated starch,E1420,SAFE,0.0797,0.19,93,35,0.379,58.0,Low negative evidence
Potassium salts of fatty acids,E470AII,SAFE,0.0162,0.03,10,4,0.48,17.0,Low negative evidence
Bentonite,E558,WATCHLIST,0.2154,1.0,4338,911,0.21,39.0,Moderate concerns (SSI: 21.5%)
sodium dodecyl sulfate,E487,DANGEROUS,0.6161,1.0,31191,14975,0.48,31.0,High negative evidence
Candelilla wax,E902,SAFE,0.0339,0.19,88,9,0.103,47.0,Low negative evidence
Gamma-Cyclodextrine,E458,SAFE,0.0512,0.14,48,24,0.504,62.0,Low negative evidence
Lactitol,E966,SAFE,0.1078,0.25,154,77,0.504,51.0,Low negative evidence
1‚4-Heptonolactone,E370,SAFE,0.0584,0.17,72,24,0.342,71.0,Low negative evidence
Sodium carbonate,E500I,WATCHLIST,0.2097,0.83,1722,474,0.276,41.0,Moderate concerns (SSI: 21.0%)
Dimethyl polysiloxane,E900A,SAFE,0.0582,0.15,58,16,0.279,62.0,Low negative evidence
Potassium nitrate,E252,SAFE,0.1784,0.58,831,302,0.364,49.0,Low negative evidence
Calcium carbonates,E170,SAFE,0.0872,0.35,315,89,0.283,63.0,Low negative evidence
Carbomer,E1210,SAFE,0.033,0.21,115,18,0.159,55.0,Low negative evidence
Starch sodium octenyl succinate,E1450,SAFE,0.0389,0.08,18,8,0.472,70.0,Low negative evidence
Nicotinic acid,E375,DANGEROUS,0.8681,1.0,5987,2363,0.395,43.0,High negative evidence
Copper complexes of chlorophylls,E141I,UNKNOWN,0.0129,0.01,3,2,0.833,0.0,Insufficient research (3 papers)
Potassium propionate,E283,SAFE,0.0756,0.19,90,38,0.427,60.0,Low negative evidence
E638,E638,SAFE,0.041,0.11,31,10,0.332,64.0,Low negative evidence
Malic acid,E296,DANGEROUS,0.4457,1.0,4196,2052,0.489,29.0,High negative evidence
Gold,E175,WATCHLIST,0.2146,1.0,107118,25749,0.24,60.0,Moderate concerns (SSI: 21.5%)
Dextrin,E1400,WATCHLIST,0.2408,0.65,1054,434,0.412,29.0,Moderate concerns (SSI: 24.1%)
ammonium adipate,E359,SAFE,0.0522,0.16,65,23,0.358,73.0,Low negative evidence
Butane,E943A,SAFE,0.1776,1.0,2914,682,0.234,42.0,Low negative evidence
Succinylated monoglycerides,E472G,UNKNOWN,0.024,0.03,6,5,0.833,67.0,Insufficient research (6 papers)
Monocalcium phosphate,E341I,SAFE,0.0522,0.28,190,45,0.24,9.0,Low negative evidence
mineral oil,E905A,DANGEROUS,0.3628,0.92,2104,717,0.341,32.0,High negative evidence
Dimethylpolysiloxane and Methylphenylpolysiloxane,E900,SAFE,0.0173,0.1,26,6,0.261,71.0,Low negative evidence
Brown FK,E154,SAFE,0.088,0.25,162,61,0.377,70.0,Low negative evidence
Glyceryl diacetate,E1517,SAFE,0.0234,0.1,27,5,0.194,33.0,Low negative evidence
Chlorophyllins,E140II,SAFE,0.0911,0.11,29,14,0.512,38.0,Low negative evidence
Dipotassium phosphate,E340II,SAFE,0.0624,0.12,34,16,0.472,50.0,Low negative evidence
Sodium nitrite,E250,DANGEROUS,0.6116,0.91,2072,1170,0.565,24.0,High negative evidence
Lecithin,E322I,DANGEROUS,0.7819,1.0,4922,2191,0.445,43.0,High negative evidence
Calcium tartrate,E354,SAFE,0.0817,0.2,98,39,0.401,53.0,Low negative evidence
Iron oxides and iron hydroxides,E172,SAFE,0.1868,0.57,815,318,0.391,59.0,Low negative evidence
Nitrogen oxides,E918,WATCHLIST,0.3385,1.0,7255,2932,0.404,46.0,Moderate concerns (SSI: 33.8%)
Calcium fumarate,E367,SAFE,0.0627,0.19,94,38,0.413,56.0,Low negative evidence
Sodium calcium polyphosphate,E452III,SAFE,0.0867,0.26,172,61,0.359,42.0,Low negative evidence
Potassium tartrates,E336,SAFE,0.1678,0.49,593,203,0.344,33.0,Low negative evidence
Gelatine,E428,SAFE,0.1503,0.61,945,248,0.263,46.0,Low negative evidence
Ethyl p-hydroxybenzoate,E214,SAFE,0.1183,0.26,167,82,0.492,64.0,Low negative evidence
Petunidin,E163F,SAFE,0.1033,0.37,337,124,0.368,56.0,Low negative evidence
Annatto bixin,E160BI,SAFE,0.0486,0.14,47,18,0.403,31.0,Low negative evidence
Propyl gallate,E310,WATCHLIST,0.3135,0.55,752,443,0.59,31.0,Moderate concerns (SSI: 31.3%)
Magnesium hydroxide,E528,SAFE,0.1101,0.58,832,183,0.22,52.0,Low negative evidence
Citric acid esters of mono- and diglycerides of fatty acids,E472C,UNKNOWN,0.0042,0.01,3,1,0.333,0.0,Insufficient research (3 papers)
Ethanol,E1510,DANGEROUS,0.4063,1.0,98314,42628,0.434,38.0,High negative evidence
Gamme-tocopherol,E308,SAFE,0.0613,0.17,75,27,0.366,79.0,Low negative evidence
Sodium bisulphite,E222,SAFE,0.1488,0.28,195,109,0.562,64.0,Low negative evidence
Sunset yellow FCF,E110,SAFE,0.0935,0.36,323,104,0.322,60.0,Low negative evidence
Glucose oxidase,E1102,DANGEROUS,0.3883,1.0,6503,3128,0.481,51.0,High negative evidence
Sodium malate,E350I,UNKNOWN,0.0057,0.02,8,1,0.188,0.0,Insufficient research (8 papers)
octafluorocyclobutane,E946,SAFE,0.0245,0.13,43,11,0.275,42.0,Low negative evidence
Glycine and its sodium salt,E640,WATCHLIST,0.3239,0.72,1301,672,0.517,24.0,Moderate concerns (SSI: 32.4%)
Lutein,E161B,DANGEROUS,0.3954,1.0,3822,2083,0.545,56.0,High negative evidence
Sodium methyl p-hydroxybenzoate,E219,SAFE,0.0732,0.24,139,53,0.386,68.0,Low negative evidence
Calcium Disulphite,E225,SAFE,0.0678,0.21,106,41,0.392,74.0,Low negative evidence
Tagatose,E963,SAFE,0.1929,0.45,508,294,0.58,35.0,Low negative evidence
Gum Guaicum,E241,SAFE,0.056,0.2,102,28,0.278,66.0,Low negative evidence
Paraffin wax,E905CII,SAFE,0.1662,0.59,863,271,0.314,56.0,Low negative evidence
Magnesium carbonates,E504,SAFE,0.0632,0.19,93,30,0.325,48.0,Low negative evidence
Choline salt,E1001,SAFE,0.0429,0.12,35,12,0.357,44.0,Low negative evidence
Calcium alginate,E404,WATCHLIST,0.228,0.75,1394,441,0.317,40.0,Moderate concerns (SSI: 22.8%)
Tetrasodium diphosphate,E450III,UNKNOWN,0.006,0.02,4,1,0.312,25.0,Insufficient research (4 papers)
Dodecyl gallate,E312,SAFE,0.0598,0.21,109,34,0.32,60.0,Low negative evidence
Enzyme treated starch,E1405,WATCHLIST,0.2648,0.59,863,450,0.522,25.0,Moderate concerns (SSI: 26.5%)
Ponceau 4r,E124,SAFE,0.1032,0.37,342,108,0.317,57.0,Low negative evidence
Monosodium glutamate,E621,DANGEROUS,0.3537,0.71,1274,618,0.485,27.0,High negative evidence
Caustic sulphite caramel,E150B,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found
Calcium malate,E352I,SAFE,0.0046,0.03,15,4,0.33,0.0,Low negative evidence
Ethoxyquin,E324,DANGEROUS,0.3933,0.38,355,247,0.698,20.0,High negative evidence
Sulphur dioxide,E220,SAFE,0.1808,0.6,887,259,0.292,72.0,Low negative evidence
Calcium chloride,E509,DANGEROUS,0.403,1.0,6704,2262,0.337,21.0,High negative evidence
Erythorbic acid,E315,SAFE,0.0965,0.24,148,71,0.481,59.0,Low negative evidence
E642,E642,SAFE,0.0385,0.11,29,8,0.297,61.0,Low negative evidence
Oxidised starch,E1404,SAFE,0.0409,0.08,18,8,0.451,50.0,Low negative evidence
Desconocido,E386,SAFE,0.0834,0.23,129,55,0.429,88.0,Low negative evidence
Arabinogalactan,E409,WATCHLIST,0.2962,0.87,1891,853,0.451,34.0,Moderate concerns (SSI: 29.6%)
Allura red,E129,SAFE,0.1252,0.4,402,132,0.331,59.0,Low negative evidence
Citranaxanthin,E161I,UNKNOWN,0.0013,0.02,8,0,0.117,0.0,Insufficient research (8 papers)
Magnesium lactate,E329,SAFE,0.0631,0.18,84,32,0.387,69.0,Low negative evidence
Polyethylene glycol,E1521,WATCHLIST,0.3352,1.0,14167,4823,0.34,37.0,Moderate concerns (SSI: 33.5%)
D-sorbitol,E420I,SAFE,0.1512,0.45,499,218,0.439,35.0,Low negative evidence
Sodium tripolyphosphate,E452VI,SAFE,0.0807,0.44,485,88,0.182,26.0,Low negative evidence
Potassium persulfate,E922,SAFE,0.1148,0.44,484,130,0.269,58.0,Low negative evidence
Acetic acid esters of mono- and diglycerides of fatty acids,E472A,UNKNOWN,0.0659,0.05,7,4,0.625,75.0,Insufficient research (7 papers)
Glycolipids,E246,DANGEROUS,0.5456,1.0,11147,5952,0.534,36.0,High negative evidence
Mineral oil medium and low viscosity class III,E905G,UNKNOWN,0.0024,0.01,1,1,1.0,100.0,Insufficient research (1 papers)
Oxidised polyethylene wax,E914,SAFE,0.0477,0.16,67,17,0.256,31.0,Low negative evidence
Sodium/potassium/calcium and magnesium salts of fatty acids,E470,SAFE,0.0499,0.11,30,10,0.356,67.0,Low negative evidence
Fatty acids,E570,DANGEROUS,0.4843,1.0,143716,73990,0.515,31.0,High negative evidence
Polyoxyethylene sorbitan monooleate,E433,SAFE,0.0544,0.2,97,31,0.325,66.0,Low negative evidence
Chlorine,E925,DANGEROUS,0.3957,1.0,23658,9397,0.397,40.0,High negative evidence
Calcium acetate,E263,SAFE,0.1134,0.36,318,109,0.344,49.0,Low negative evidence
Nitrogen,E941,WATCHLIST,0.3367,1.0,244513,89014,0.364,34.0,Moderate concerns (SSI: 33.7%)
Riboflavin-5′-phosphate,E101II,SAFE,0.1593,0.21,108,50,0.47,25.0,Low negative evidence
Patent blue v,E131,SAFE,0.1033,0.31,245,87,0.357,67.0,Low negative evidence
Calcium 5'-ribonucleotide,E634,SAFE,0.0301,0.12,34,14,0.43,42.0,Low negative evidence
Ammonium hydrogen carbonate,E503II,SAFE,0.0243,0.12,35,9,0.257,50.0,Low negative evidence
Tricalcium phosphate,E341III,SAFE,0.1676,1.0,2890,674,0.233,34.0,Low negative evidence
Sodium citrates,E331,WATCHLIST,0.348,1.0,5476,2020,0.369,39.0,Moderate concerns (SSI: 34.8%)
Nitrosyl chloride,E919,SAFE,0.0308,0.16,66,15,0.241,76.0,Low negative evidence
Amidated pectin,E440II,SAFE,0.0287,0.1,27,7,0.275,42.0,Low negative evidence
Sodium aluminium silicate,E554,SAFE,0.0528,0.12,36,16,0.465,52.0,Low negative evidence
Sodium sesquicarbonate,E500III,SAFE,0.0116,0.04,25,7,0.311,5.0,Low negative evidence
Sodium/potassium and calcium salts of fatty acids,E470A,UNKNOWN,0.032,0.02,6,6,1.054,25.0,Insufficient research (6 papers)
Dicalcium diphosphate,E450VI,SAFE,0.0098,0.05,12,4,0.394,25.0,Low negative evidence
Sodium formiate,E237,SAFE,0.0535,0.19,94,28,0.305,62.0,Low negative evidence
l-cysteine,E920,DANGEROUS,0.5926,1.0,6837,4377,0.64,35.0,High negative evidence
Ethulose,E467,SAFE,0.0589,0.14,50,19,0.392,75.0,Low negative evidence
Sodium sulphate,E514I,SAFE,0.135,0.38,364,130,0.358,28.0,Low negative evidence
Magnesium stearate,E572,SAFE,0.0555,0.17,71,22,0.312,57.0,Low negative evidence
acid esters of mono- and diglycerides of fatty acids,E472,SAFE,0.0389,0.14,50,15,0.31,76.0,Low negative evidence
Aluminium silicate,E559,SAFE,0.0479,0.2,97,23,0.241,53.0,Low negative evidence
Beta-cyclodextrine,E459,SAFE,0.0591,0.18,80,31,0.392,61.0,Low negative evidence
Sodium propionate,E281,SAFE,0.1341,0.36,330,132,0.401,27.0,Low negative evidence
Acid sodium aluminium phosphate,E541I,UNKNOWN,0.0309,0.03,6,3,0.5,50.0,Insufficient research (6 papers)
Konjac gum,E425I,SAFE,0.0675,0.14,46,6,0.13,29.0,Low negative evidence
Glucono-delta-lactone,E575,SAFE,0.086,0.34,296,77,0.262,30.0,Low negative evidence
Guanylic acid,E626,WATCHLIST,0.2048,0.27,189,100,0.53,37.0,Moderate concerns (SSI: 20.5%)
Monomagnesium phosphate,E343I,UNKNOWN,0.0,0.01,1,0,0.0,100.0,Insufficient research (1 papers)
Polyglycerol esters of fatty acids,E475,SAFE,0.0506,0.15,53,16,0.302,48.0,Low negative evidence
Thermally oxidised soya bean oil interacted with mono- and diglycerides of fatty acids,E479B,UNKNOWN,0.0224,0.01,1,2,2.5,0.0,Insufficient research (1 papers)
Pentapotassium triphosphate,E451II,UNKNOWN,0.0,0.01,3,0,0.0,0.0,Insufficient research (3 papers)
Distarch glycerol,E1411,UNKNOWN,0.0141,0.06,8,1,0.208,67.0,Insufficient research (8 papers)
Delphinidin,E163B,WATCHLIST,0.2133,0.6,915,399,0.436,45.0,Moderate concerns (SSI: 21.3%)
dipotassium dihydrogenpyrophosphate,E450IV,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found
Sucralose,E955,WATCHLIST,0.2186,0.51,646,288,0.446,56.0,Moderate concerns (SSI: 21.9%)
Ethyl lauroyl arginate,E243,SAFE,0.0708,0.24,142,47,0.333,70.0,Low negative evidence
Neotame,E961,SAFE,0.0574,0.2,97,30,0.319,62.0,Low negative evidence
Rhodoxanthin,E161F,SAFE,0.0166,0.08,31,7,0.229,15.0,Low negative evidence
E450viii,E450VIII,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found
Potassium chloride,E508,DANGEROUS,0.4471,1.0,13318,5303,0.398,13.0,High negative evidence
Benzyl alcohol,E1519,WATCHLIST,0.215,1.0,2765,714,0.258,31.0,Moderate concerns (SSI: 21.5%)
Bakers yeast glycan,E408,SAFE,0.1965,0.38,364,220,0.606,36.0,Low negative evidence
Cyclamic acid and its Na and Ca salts,E952,SAFE,0.0159,0.08,16,5,0.332,77.0,Low negative evidence
Disodium diphosphate,E450I,UNKNOWN,0.0,0.01,3,0,0.0,20.0,Insufficient research (3 papers)
Red 2G,E128,SAFE,0.0935,0.27,183,71,0.393,71.0,Low negative evidence
Potassium ferrocyanide,E536,SAFE,0.1283,0.39,385,123,0.321,33.0,Low negative evidence
Potassium sorbate,E202,SAFE,0.1301,0.51,653,175,0.269,43.0,Low negative evidence
