nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason
Gum ghatti,E419,SAFE,0.0633,0.19,94,28,0.3,65.0,Low negative evidence
Disodium tartrate,E335II,UNKNOWN,0.0031,0.02,6,0,0.087,20.0,Insufficient research (6 papers)
Tricalcium citrate,E333III,UNKNOWN,0.0063,0.03,4,0,0.188,50.0,Insufficient research (4 papers)
4-hexylresorcinol,E586,SAFE,0.0579,0.19,87,32,0.375,38.0,Low negative evidence
Xylitol,E967,DANGEROUS,0.4522,1.0,2718,1509,0.555,49.0,High negative evidence
Sorbitol,E420,DANGEROUS,0.4971,1.0,7108,3661,0.515,33.0,High negative evidence
Aluminium sulphate,E520,SAFE,0.0799,0.26,172,61,0.356,50.0,Low negative evidence
Sorbitan monolaurate,E493,SAFE,0.0621,0.22,122,35,0.291,49.0,Low negative evidence
Calcium erythorbin,E318,DANGEROUS,0.4607,1.0,313426,160962,0.514,28.0,High negative evidence
Calcium stearoyl fumarate,E486,SAFE,0.0535,0.11,33,16,0.512,72.0,Low negative evidence
E414a food additive,E414A,UNKNOWN,0.0105,0.03,4,5,1.25,100.0,Insufficient research (4 papers)
Curcumin,E100,DANGEROUS,0.509,1.0,4971,2805,0.564,40.0,High negative evidence
saccharin and its salts,E954,SAFE,0.0792,0.19,89,35,0.397,31.0,Low negative evidence
Lactic acid esters of mono- and diglycerides of fatty acids,E472B,UNKNOWN,0.0032,0.01,3,3,1.0,50.0,Insufficient research (3 papers)
Yellow iron oxide,E172III,UNKNOWN,0.0,0.04,9,0,0.0,50.0,Insufficient research (9 papers)
Phytic acid,E391,DANGEROUS,0.4474,1.0,4259,2062,0.484,42.0,High negative evidence
Ascorbic acid,E300,DANGEROUS,0.586,1.0,36197,19502,0.539,41.0,High negative evidence
Cryptoaxanthin,E161C,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found
Neohesperidine dihydrochalcone,E959,SAFE,0.0421,0.11,30,10,0.341,59.0,Low negative evidence
Phosphated distarch phosphate,E1413,SAFE,0.0563,0.16,65,14,0.228,41.0,Low negative evidence
Heptylparaben,E209,SAFE,0.0756,0.22,121,43,0.36,72.0,Low negative evidence
Monosodium citrate,E331I,UNKNOWN,0.0,0.03,5,0,0.0,50.0,Insufficient research (5 papers)
