nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status
Chlorine dioxide,E926,WITHDRAWN,0.2492,0.72,1301,506,0.389,48.0,Moderate concerns (SSI: 24.9%),WITHDRAWN
Dimethyl dicarbonate,E242,SAFE,0.0846,0.22,120,50,0.418,60.0,Low negative evidence,APPROVED
Calcium hydrogen malate,E352II,SAFE,0.0768,0.2,98,48,0.497,9.0,Low negative evidence,APROVED
Processed eucheuma seaweed,E407A,UNKNOWN,0.032,0.04,7,4,0.7,40.0,Insufficient research (7 papers),APROVED
Acetylated distarch phosphate,E1414,SAFE,0.0671,0.11,29,14,0.498,47.0,Low negative evidence,APPROVED
Calcium sorbate,E203,WITHDRAWN,0.0912,0.25,156,68,0.439,59.0,Low negative evidence,WITHDRAWN
Sodium sulphite,E221,SAFE,0.0841,0.29,204,67,0.33,52.0,Low negative evidence,APPROVED
Talc,E553B,WATCHLIST,0.3209,0.65,1045,345,0.33,68.0,Moderate concerns (SSI: 32.1%),APROVED
Propylene Glycol,E1520,DANGEROUS,0.3622,0.98,2407,852,0.354,35.0,High negative evidence,APROVED
isomalt,E953,SAFE,0.0597,0.17,69,21,0.308,61.0,Low negative evidence,APPROVED
Anionic methacrylate copolymer,E1207,SAFE,0.0214,0.07,11,3,0.331,57.0,Low negative evidence,APPROVED
Glutamic acid,E620,SAFE,0.4612,1.0,34160,19437,0.569,21.0,High negative evidence,APPROVED
Sorbitan monooleate,E494,SAFE,0.071,0.28,197,51,0.262,36.0,Low negative evidence,APPROVED
Erythrosine,E127,SAFE,0.1965,0.53,704,276,0.392,42.0,Low negative evidence,APPROVED
Hydrochloric acid,E507,WATCHLIST,0.2914,1.0,9719,2475,0.255,36.0,Moderate concerns (SSI: 29.1%),APPROVED
Formaldehyde,E240,WITHDRAWN,0.483,1.0,22926,9123,0.398,41.0,High negative evidence,WITHDRAWN
Sodium hydrogen malate,E350II,SAFE,0.1023,0.23,138,74,0.537,17.0,Low negative evidence,APROVED
Lecithin citrate,E344,SAFE,0.0643,0.2,102,33,0.326,49.0,Low negative evidence,APROVED
Carrageenan,E407,WATCHLIST,0.3484,1.0,4387,1319,0.301,17.0,Moderate concerns (SSI: 34.8%),APPROVED
calcium lactate,E327,SAFE,0.1008,0.39,371,118,0.32,43.0,Low negative evidence,APPROVED
Leucine,E641,DANGEROUS,0.6932,1.0,53009,34111,0.644,27.0,High negative evidence,APROVED
Annatto,E160B,SAFE,0.0511,0.21,110,33,0.3,35.0,Low negative evidence,APROVED
Magnesium diglutamate,E625,SAFE,0.0422,0.11,33,13,0.406,71.0,Low negative evidence,APPROVED
Sodium gluconate,E576,SAFE,0.1057,0.3,227,94,0.416,34.0,Low negative evidence,APPROVED
Basic methacrylate copolymer,E1205,SAFE,0.0159,0.07,12,2,0.229,43.0,Low negative evidence,APPROVED
Hydroxypropyl distarch phosphate,E1442,SAFE,0.0361,0.11,31,9,0.294,43.0,Low negative evidence,APPROVED
