nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status
Gamma-Cyclodextrine,E458,SAFE,0.0512,0.14,48,24,0.504,62.0,Low negative evidence,APROVED
Lactitol,E966,SAFE,0.1078,0.25,154,77,0.504,51.0,Low negative evidence,APPROVED
1‚4-Heptonolactone,E370,SAFE,0.0584,0.17,72,24,0.342,71.0,Low negative evidence,APPROVED
Sodium carbonate,E500I,WATCHLIST,0.2097,0.83,1722,474,0.276,41.0,Moderate concerns (SSI: 21.0%),APROVED
Dimethyl polysiloxane,E900A,SAFE,0.0582,0.15,58,16,0.279,62.0,Low negative evidence,APROVED
Potassium nitrate,E252,RESTRICTED,0.1784,0.58,831,302,0.364,49.0,Low negative evidence,RESTRICTED
Calcium carbonates,E170,SAFE,0.0872,0.35,315,89,0.283,63.0,Low negative evidence,APPROVED
Carbomer,E1210,SAFE,0.033,0.21,115,18,0.159,55.0,Low negative evidence,APPROVED
Starch sodium octenyl succinate,E1450,SAFE,0.0389,0.08,18,8,0.472,70.0,Low negative evidence,APPROVED
Nicotinic acid,E375,SAFE,0.8681,1.0,5987,2363,0.395,43.0,High negative evidence,APPROVED
Copper complexes of chlorophylls,E141I,UNKNOWN,0.0129,0.01,3,2,0.833,0.0,Insufficient research (3 papers),APROVED
Potassium propionate,E283,SAFE,0.0756,0.19,90,38,0.427,60.0,Low negative evidence,APPROVED
E638,E638,SAFE,0.041,0.11,31,10,0.332,64.0,Low negative evidence,APROVED
Malic acid,E296,DANGEROUS,0.4457,1.0,4196,2052,0.489,29.0,High negative evidence,APROVED
Gold,E175,RESTRICTED,0.2146,1.0,107118,25749,0.24,60.0,Moderate concerns (SSI: 21.5%),RESTRICTED
Dextrin,E1400,WATCHLIST,0.2408,0.65,1054,434,0.412,29.0,Moderate concerns (SSI: 24.1%),APROVED
ammonium adipate,E359,SAFE,0.0522,0.16,65,23,0.358,73.0,Low negative evidence,APROVED
Butane,E943A,SAFE,0.1776,1.0,2914,682,0.234,42.0,Low negative evidence,APROVED
Succinylated monoglycerides,E472G,UNKNOWN,0.024,0.03,6,5,0.833,67.0,Insufficient research (6 papers),APROVED
Monocalcium phosphate,E341I,SAFE,0.0522,0.28,190,45,0.24,9.0,Low negative evidence,APROVED
mineral oil,E905A,DANGEROUS,0.3628,0.92,2104,717,0.341,32.0,High negative evidence,APROVED
Dimethylpolysiloxane and Methylphenylpolysiloxane,E900,SAFE,0.0173,0.1,26,6,0.261,71.0,Low negative evidence,APPROVED
Brown FK,E154,SAFE,0.088,0.25,162,61,0.377,70.0,Low negative evidence,APROVED
Glyceryl diacetate,E1517,SAFE,0.0234,0.1,27,5,0.194,33.0,Low negative evidence,APROVED
Chlorophyllins,E140II,SAFE,0.0911,0.11,29,14,0.512,38.0,Low negative evidence,APROVED
Dipotassium phosphate,E340II,SAFE,0.0624,0.12,34,16,0.472,50.0,Low negative evidence,APROVED
Sodium nitrite,E250,RESTRICTED,0.6116,0.91,2072,1170,0.565,24.0,High negative evidence,RESTRICTED
Lecithin,E322I,DANGEROUS,0.7819,1.0,4922,2191,0.445,43.0,High negative evidence,APROVED
Calcium tartrate,E354,SAFE,0.0817,0.2,98,39,0.401,53.0,Low negative evidence,APROVED
Iron oxides and iron hydroxides,E172,SAFE,0.1868,0.57,815,318,0.391,59.0,Low negative evidence,APPROVED
Nitrogen oxides,E918,WATCHLIST,0.3385,1.0,7255,2932,0.404,46.0,Moderate concerns (SSI: 33.8%),APROVED
Calcium fumarate,E367,SAFE,0.0627,0.19,94,38,0.413,56.0,Low negative evidence,APROVED
Sodium calcium polyphosphate,E452III,SAFE,0.0867,0.26,172,61,0.359,42.0,Low negative evidence,APROVED
Potassium tartrates,E336,SAFE,0.1678,0.49,593,203,0.344,33.0,Low negative evidence,APPROVED
Gelatine,E428,SAFE,0.1503,0.61,945,248,0.263,46.0,Low negative evidence,APPROVED
Ethyl p-hydroxybenzoate,E214,SAFE,0.1183,0.26,167,82,0.492,64.0,Low negative evidence,APPROVED
Petunidin,E163F,SAFE,0.1033,0.37,337,124,0.368,56.0,Low negative evidence,APROVED
Annatto bixin,E160BI,SAFE,0.0486,0.14,47,18,0.403,31.0,Low negative evidence,APROVED
Propyl gallate,E310,RESTRICTED,0.3135,0.55,752,443,0.59,31.0,Moderate concerns (SSI: 31.3%),RESTRICTED
Magnesium hydroxide,E528,SAFE,0.1101,0.58,832,183,0.22,52.0,Low negative evidence,APPROVED
Citric acid esters of mono- and diglycerides of fatty acids,E472C,UNKNOWN,0.0042,0.01,3,1,0.333,0.0,Insufficient research (3 papers),APROVED
Ethanol,E1510,DANGEROUS,0.4063,1.0,98314,42628,0.434,38.0,High negative evidence,APROVED
Gamme-tocopherol,E308,SAFE,0.0613,0.17,75,27,0.366,79.0,Low negative evidence,APPROVED
Sodium bisulphite,E222,SAFE,0.1488,0.28,195,109,0.562,64.0,Low negative evidence,APPROVED
Sunset yellow FCF,E110,SAFE,0.0935,0.36,323,104,0.322,60.0,Low negative evidence,APPROVED
Glucose oxidase,E1102,DANGEROUS,0.3883,1.0,6503,3128,0.481,51.0,High negative evidence,APROVED
Sodium malate,E350I,UNKNOWN,0.0057,0.02,8,1,0.188,0.0,Insufficient research (8 papers),APROVED
octafluorocyclobutane,E946,SAFE,0.0245,0.13,43,11,0.275,42.0,Low negative evidence,APROVED
Glycine and its sodium salt,E640,WATCHLIST,0.3239,0.72,1301,672,0.517,24.0,Moderate concerns (SSI: 32.4%),APPROVED
Lutein,E161B,DANGEROUS,0.3954,1.0,3822,2083,0.545,56.0,High negative evidence,APROVED
Sodium methyl p-hydroxybenzoate,E219,SAFE,0.0732,0.24,139,53,0.386,68.0,Low negative evidence,APPROVED
Calcium Disulphite,E225,SAFE,0.0678,0.21,106,41,0.392,74.0,Low negative evidence,APROVED
Tagatose,E963,SAFE,0.1929,0.45,508,294,0.58,35.0,Low negative evidence,APROVED
Gum Guaicum,E241,SAFE,0.056,0.2,102,28,0.278,66.0,Low negative evidence,APROVED
Paraffin wax,E905CII,SAFE,0.1662,0.59,863,271,0.314,56.0,Low negative evidence,APROVED
Magnesium carbonates,E504,SAFE,0.0632,0.19,93,30,0.325,48.0,Low negative evidence,APPROVED
Choline salt,E1001,SAFE,0.0429,0.12,35,12,0.357,44.0,Low negative evidence,APPROVED
Calcium alginate,E404,WATCHLIST,0.228,0.75,1394,441,0.317,40.0,Moderate concerns (SSI: 22.8%),APPROVED
Tetrasodium diphosphate,E450III,UNKNOWN,0.006,0.02,4,1,0.312,25.0,Insufficient research (4 papers),APROVED
Dodecyl gallate,E312,RESTRICTED,0.0598,0.21,109,34,0.32,60.0,Low negative evidence,RESTRICTED
Enzyme treated starch,E1405,WATCHLIST,0.2648,0.59,863,450,0.522,25.0,Moderate concerns (SSI: 26.5%),APROVED
Ponceau 4r,E124,SAFE,0.1032,0.37,342,108,0.317,57.0,Low negative evidence,APPROVED
Monosodium glutamate,E621,SAFE,0.3537,0.71,1274,618,0.485,27.0,High negative evidence,APPROVED
Caustic sulphite caramel,E150B,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED
Calcium malate,E352I,SAFE,0.0046,0.03,15,4,0.33,0.0,Low negative evidence,APROVED
Ethoxyquin,E324,DANGEROUS,0.3933,0.38,355,247,0.698,20.0,High negative evidence,APROVED
Sulphur dioxide,E220,SAFE,0.1808,0.6,887,259,0.292,72.0,Low negative evidence,APPROVED
Calcium chloride,E509,SAFE,0.403,1.0,6704,2262,0.337,21.0,High negative evidence,APPROVED
Erythorbic acid,E315,SAFE,0.0965,0.24,148,71,0.481,59.0,Low negative evidence,APPROVED
E642,E642,SAFE,0.0385,0.11,29,8,0.297,61.0,Low negative evidence,APROVED
Oxidised starch,E1404,SAFE,0.0409,0.08,18,8,0.451,50.0,Low negative evidence,APPROVED
Desconocido,E386,SAFE,0.0834,0.23,129,55,0.429,88.0,Low negative evidence,APROVED
Arabinogalactan,E409,WATCHLIST,0.2962,0.87,1891,853,0.451,34.0,Moderate concerns (SSI: 29.6%),APROVED
Allura red,E129,SAFE,0.1252,0.4,402,132,0.331,59.0,Low negative evidence,APPROVED
Citranaxanthin,E161I,UNKNOWN,0.0013,0.02,8,0,0.117,0.0,Insufficient research (8 papers),APROVED
Magnesium lactate,E329,SAFE,0.0631,0.18,84,32,0.387,69.0,Low negative evidence,APROVED
Polyethylene glycol,E1521,WATCHLIST,0.3352,1.0,14167,4823,0.34,37.0,Moderate concerns (SSI: 33.5%),APROVED
D-sorbitol,E420I,SAFE,0.1512,0.45,499,218,0.439,35.0,Low negative evidence,APROVED
Sodium tripolyphosphate,E452VI,SAFE,0.0807,0.44,485,88,0.182,26.0,Low negative evidence,APROVED
Potassium persulfate,E922,SAFE,0.1148,0.44,484,130,0.269,58.0,Low negative evidence,APROVED
Acetic acid esters of mono- and diglycerides of fatty acids,E472A,UNKNOWN,0.0659,0.05,7,4,0.625,75.0,Insufficient research (7 papers),APROVED
Glycolipids,E246,DANGEROUS,0.5456,1.0,11147,5952,0.534,36.0,High negative evidence,APROVED
Mineral oil medium and low viscosity class III,E905G,UNKNOWN,0.0024,0.01,1,1,1.0,100.0,Insufficient research (1 papers),APROVED
Oxidised polyethylene wax,E914,SAFE,0.0477,0.16,67,17,0.256,31.0,Low negative evidence,APPROVED
Sodium/potassium/calcium and magnesium salts of fatty acids,E470,SAFE,0.0499,0.11,30,10,0.356,67.0,Low negative evidence,APROVED
Fatty acids,E570,SAFE,0.4843,1.0,143716,73990,0.515,31.0,High negative evidence,APPROVED
Polyoxyethylene sorbitan monooleate,E433,SAFE,0.0544,0.2,97,31,0.325,66.0,Low negative evidence,APPROVED
Chlorine,E925,WITHDRAWN,0.3957,1.0,23658,9397,0.397,40.0,High negative evidence,WITHDRAWN
Calcium acetate,E263,SAFE,0.1134,0.36,318,109,0.344,49.0,Low negative evidence,APPROVED
Nitrogen,E941,WATCHLIST,0.3367,1.0,244513,89014,0.364,34.0,Moderate concerns (SSI: 33.7%),APPROVED
Riboflavin-5′-phosphate,E101II,SAFE,0.1593,0.21,108,50,0.47,25.0,Low negative evidence,APROVED
Patent blue v,E131,SAFE,0.1033,0.31,245,87,0.357,67.0,Low negative evidence,APPROVED
Calcium 5'-ribonucleotide,E634,SAFE,0.0301,0.12,34,14,0.43,42.0,Low negative evidence,APROVED
Ammonium hydrogen carbonate,E503II,SAFE,0.0243,0.12,35,9,0.257,50.0,Low negative evidence,APROVED
Tricalcium phosphate,E341III,SAFE,0.1676,1.0,2890,674,0.233,34.0,Low negative evidence,APROVED
Sodium citrates,E331,WATCHLIST,0.348,1.0,5476,2020,0.369,39.0,Moderate concerns (SSI: 34.8%),APPROVED
Nitrosyl chloride,E919,SAFE,0.0308,0.16,66,15,0.241,76.0,Low negative evidence,APROVED
Amidated pectin,E440II,SAFE,0.0287,0.1,27,7,0.275,42.0,Low negative evidence,APROVED
Sodium aluminium silicate,E554,SAFE,0.0528,0.12,36,16,0.465,52.0,Low negative evidence,APPROVED
Sodium sesquicarbonate,E500III,SAFE,0.0116,0.04,25,7,0.311,5.0,Low negative evidence,APROVED
Sodium/potassium and calcium salts of fatty acids,E470A,UNKNOWN,0.032,0.02,6,6,1.054,25.0,Insufficient research (6 papers),APROVED
Dicalcium diphosphate,E450VI,SAFE,0.0098,0.05,12,4,0.394,25.0,Low negative evidence,APROVED
Sodium formiate,E237,SAFE,0.0535,0.19,94,28,0.305,62.0,Low negative evidence,APPROVED
l-cysteine,E920,SAFE,0.5926,1.0,6837,4377,0.64,35.0,High negative evidence,APPROVED
Ethulose,E467,SAFE,0.0589,0.14,50,19,0.392,75.0,Low negative evidence,APROVED
Sodium sulphate,E514I,SAFE,0.135,0.38,364,130,0.358,28.0,Low negative evidence,APROVED
Magnesium stearate,E572,SAFE,0.0555,0.17,71,22,0.312,57.0,Low negative evidence,APROVED
acid esters of mono- and diglycerides of fatty acids,E472,SAFE,0.0389,0.14,50,15,0.31,76.0,Low negative evidence,APROVED
Aluminium silicate,E559,SAFE,0.0479,0.2,97,23,0.241,53.0,Low negative evidence,APPROVED
Beta-cyclodextrine,E459,SAFE,0.0591,0.18,80,31,0.392,61.0,Low negative evidence,APPROVED
Sodium propionate,E281,SAFE,0.1341,0.36,330,132,0.401,27.0,Low negative evidence,APPROVED
Acid sodium aluminium phosphate,E541I,UNKNOWN,0.0309,0.03,6,3,0.5,50.0,Insufficient research (6 papers),APROVED
Konjac gum,E425I,SAFE,0.0675,0.14,46,6,0.13,29.0,Low negative evidence,APROVED
Glucono-delta-lactone,E575,SAFE,0.086,0.34,296,77,0.262,30.0,Low negative evidence,APPROVED
Guanylic acid,E626,WATCHLIST,0.2048,0.27,189,100,0.53,37.0,Moderate concerns (SSI: 20.5%),APPROVED
Monomagnesium phosphate,E343I,UNKNOWN,0.0,0.01,1,0,0.0,100.0,Insufficient research (1 papers),APROVED
Polyglycerol esters of fatty acids,E475,SAFE,0.0506,0.15,53,16,0.302,48.0,Low negative evidence,APPROVED
Thermally oxidised soya bean oil interacted with mono- and diglycerides of fatty acids,E479B,UNKNOWN,0.0224,0.01,1,2,2.5,0.0,Insufficient research (1 papers),APROVED
Pentapotassium triphosphate,E451II,UNKNOWN,0.0,0.01,3,0,0.0,0.0,Insufficient research (3 papers),APROVED
Distarch glycerol,E1411,UNKNOWN,0.0141,0.06,8,1,0.208,67.0,Insufficient research (8 papers),APROVED
Delphinidin,E163B,WATCHLIST,0.2133,0.6,915,399,0.436,45.0,Moderate concerns (SSI: 21.3%),APROVED
dipotassium dihydrogenpyrophosphate,E450IV,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED
Sucralose,E955,RESTRICTED,0.2186,0.51,646,288,0.446,56.0,Moderate concerns (SSI: 21.9%),RESTRICTED
Ethyl lauroyl arginate,E243,SAFE,0.0708,0.24,142,47,0.333,70.0,Low negative evidence,APROVED
Neotame,E961,RESTRICTED,0.0574,0.2,97,30,0.319,62.0,Low negative evidence,RESTRICTED
Rhodoxanthin,E161F,SAFE,0.0166,0.08,31,7,0.229,15.0,Low negative evidence,APROVED
E450viii,E450VIII,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED
Potassium chloride,E508,SAFE,0.4471,1.0,13318,5303,0.398,13.0,High negative evidence,APPROVED
Benzyl alcohol,E1519,WATCHLIST,0.215,1.0,2765,714,0.258,31.0,Moderate concerns (SSI: 21.5%),APROVED
Bakers yeast glycan,E408,SAFE,0.1965,0.38,364,220,0.606,36.0,Low negative evidence,APROVED
Cyclamic acid and its Na and Ca salts,E952,RESTRICTED,0.0159,0.08,16,5,0.332,77.0,Low negative evidence,RESTRICTED
Disodium diphosphate,E450I,UNKNOWN,0.0,0.01,3,0,0.0,20.0,Insufficient research (3 papers),APROVED
Red 2G,E128,SAFE,0.0935,0.27,183,71,0.393,71.0,Low negative evidence,APPROVED
Potassium ferrocyanide,E536,SAFE,0.1283,0.39,385,123,0.321,33.0,Low negative evidence,APPROVED
Potassium sorbate,E202,RESTRICTED,0.1301,0.51,653,175,0.269,43.0,Low negative evidence,RESTRICTED
Polyoxyethylene sorbitan tristearate,E436,SAFE,0.0258,0.14,46,10,0.22,72.0,Low negative evidence,APPROVED
Sodium dehydroacetate,E266,SAFE,0.069,0.2,96,32,0.342,62.0,Low negative evidence,APROVED
Tylosin,E713,SAFE,0.187,0.64,1024,325,0.318,17.0,Low negative evidence,APROVED
ammonium lactate,E328,SAFE,0.0546,0.22,118,42,0.357,46.0,Low negative evidence,APROVED
Ammonium chloride,E510,DANGEROUS,0.5573,1.0,6067,2768,0.456,26.0,High negative evidence,APROVED
Locust bean gum,E410,SAFE,0.1561,0.49,601,203,0.339,50.0,Low negative evidence,APPROVED
Zeaxanthin,E161H,DANGEROUS,0.3945,1.0,2692,1602,0.595,57.0,High negative evidence,APROVED
Calcium polyphosphate,E452IV,SAFE,0.0316,0.16,66,19,0.29,25.0,Low negative evidence,APROVED
peptone,E429,SAFE,0.3522,1.0,4415,1788,0.405,29.0,High negative evidence,APPROVED
Calcium oxide,E529,SAFE,0.1059,0.59,865,156,0.181,35.0,Low negative evidence,APPROVED
Xanthan gum,E415,SAFE,0.1765,0.76,1440,284,0.198,44.0,Low negative evidence,APPROVED
Delta-tocopherol,E309,SAFE,0.1138,0.4,404,169,0.42,50.0,Low negative evidence,APPROVED
Potassium sulphates,E515,SAFE,0.0539,0.13,41,16,0.406,68.0,Low negative evidence,APPROVED
Disodium phosphate,E339II,SAFE,0.0627,0.19,95,25,0.269,32.0,Low negative evidence,APROVED
Petroleum wax,E905C,SAFE,0.1468,0.64,1027,250,0.244,26.0,Low negative evidence,APROVED
Quinoline yellow,E104,SAFE,0.116,0.33,277,115,0.418,68.0,Low negative evidence,APPROVED
Glucosylated steviol glycosides,E960D,UNKNOWN,0.0545,0.03,6,6,1.15,67.0,Insufficient research (6 papers),APROVED
Acesulfame k,E950,RESTRICTED,0.1057,0.3,224,91,0.408,63.0,Low negative evidence,RESTRICTED
Calcium diglutamate,E623,SAFE,0.0281,0.1,23,6,0.302,55.0,Low negative evidence,APPROVED
Invertase,E1103,SAFE,0.471,1.0,3629,1960,0.54,26.0,High negative evidence,APPROVED
Methyl p-hydroxybenzoate,E218,SAFE,0.0786,0.25,160,57,0.36,54.0,Low negative evidence,APPROVED
Sodium polyphosphate,E452I,SAFE,0.0275,0.16,65,12,0.194,51.0,Low negative evidence,APROVED
Curdlan,E424,SAFE,0.139,0.46,530,213,0.402,37.0,Low negative evidence,APROVED
Polyvinylpyrrolidone,E1201,WATCHLIST,0.2337,1.0,3908,746,0.191,38.0,Moderate concerns (SSI: 23.4%),APPROVED
Sodium hydroxide,E524,WATCHLIST,0.235,1.0,7267,1859,0.256,41.0,Moderate concerns (SSI: 23.5%),APPROVED
Sorbic acid,E200,RESTRICTED,0.3093,0.7,1216,655,0.539,55.0,Moderate concerns (SSI: 30.9%),RESTRICTED
Fatty acid esters of ascorbic acid,E304,SAFE,0.1054,0.25,156,75,0.485,46.0,Low negative evidence,APPROVED
Calcium bromate,E924B,SAFE,0.0064,0.03,11,5,0.514,14.0,Low negative evidence,APROVED
Guar gum,E412,WATCHLIST,0.2543,0.75,1388,426,0.307,36.0,Moderate concerns (SSI: 25.4%),APPROVED
Powdered cellulose,E460II,SAFE,0.0609,0.12,36,9,0.257,17.0,Low negative evidence,APROVED
Stannous chloride,E512,SAFE,0.1745,0.44,478,199,0.417,33.0,Low negative evidence,APPROVED
Magnesium carbonate,E504I,SAFE,0.0893,0.48,585,121,0.208,47.0,Low negative evidence,APROVED
Lactic acid,E270,SAFE,0.3877,1.0,43379,20996,0.484,39.0,High negative evidence,APPROVED
Benzole peroxide,E928,WATCHLIST,0.3325,0.64,1022,626,0.613,24.0,Moderate concerns (SSI: 33.3%),APROVED
Black 7984,E152,SAFE,0.0968,0.26,170,71,0.419,74.0,Low negative evidence,APROVED
Succistearin,E446,SAFE,0.0332,0.13,44,15,0.341,57.0,Low negative evidence,APROVED
Magnesium pyrophosphate,E546,SAFE,0.0605,0.24,143,41,0.293,33.0,Low negative evidence,APROVED
Silver,E174,RESTRICTED,0.2705,1.0,77553,20442,0.264,47.0,Moderate concerns (SSI: 27.0%),RESTRICTED
Plain caramel,E150A,UNKNOWN,0.0192,0.03,6,4,0.756,56.0,Insufficient research (6 papers),APROVED
Calcium malates,E352,WATCHLIST,0.2485,0.52,671,363,0.542,20.0,Moderate concerns (SSI: 24.9%),APPROVED
Brown ht,E155,SAFE,0.0989,0.26,171,75,0.442,67.0,Low negative evidence,APROVED
Xanthophylls,E161,DANGEROUS,0.3962,1.0,3740,2204,0.589,42.0,High negative evidence,APROVED
Adipic acid,E355,WATCHLIST,0.2256,0.63,997,367,0.369,40.0,Moderate concerns (SSI: 22.6%),APPROVED
Synthetic magnesium silicate,E553AI,SAFE,0.0406,0.15,53,11,0.212,25.0,Low negative evidence,APROVED
Hydroxypropyl cellulose,E463,SAFE,0.0481,0.36,322,40,0.127,45.0,Low negative evidence,APPROVED
Thiabendazole,E233,WATCHLIST,0.2882,0.65,1064,436,0.41,30.0,Moderate concerns (SSI: 28.8%),APPROVED
Monopotassium tartrate,E336I,UNKNOWN,0.0,0.01,1,0,0.0,20.0,Insufficient research (1 papers),APROVED
Shellac,E904,SAFE,0.0598,0.28,203,32,0.16,61.0,Low negative evidence,APPROVED
Caramel,E150,SAFE,0.1736,0.52,682,245,0.36,60.0,Low negative evidence,APROVED
Lycopene,E160D,DANGEROUS,0.4712,1.0,3484,2295,0.659,59.0,High negative evidence,APROVED
Beta-carotene,E160AI,DANGEROUS,0.4142,1.0,9664,5760,0.596,52.0,High negative evidence,APROVED
Buffered vinegar,E267,SAFE,0.0584,0.19,90,34,0.385,62.0,Low negative evidence,APROVED
Lactylated fatty acid esters of glycerol and propane-1,E478,SAFE,0.0708,0.12,34,14,0.423,71.0,Low negative evidence,APPROVED
ferrous hexacyanomanganate,E537,SAFE,0.0216,0.13,44,6,0.159,76.0,Low negative evidence,APROVED
calcium gluconate,E578,WATCHLIST,0.2131,0.38,364,150,0.412,47.0,Moderate concerns (SSI: 21.3%),APPROVED
Sodium malates,E350,SAFE,0.4435,0.61,924,514,0.557,31.0,High negative evidence,APPROVED
calcium glycerophosphate,E383,SAFE,0.0469,0.23,135,31,0.233,52.0,Low negative evidence,APROVED
Glycine,E640I,DANGEROUS,0.494,1.0,73199,36384,0.497,27.0,High negative evidence,APROVED
Flavoxanthin,E161A,SAFE,0.0173,0.07,12,5,0.486,67.0,Low negative evidence,APROVED
Spermaceti,E909,SAFE,0.017,0.14,51,7,0.143,33.0,Low negative evidence,APROVED
Sodium stearoyl-2-lactylate,E481,SAFE,0.0422,0.16,66,17,0.271,59.0,Low negative evidence,APPROVED
Hydroxypropyl starch,E1440,SAFE,0.0417,0.18,80,18,0.235,34.0,Low negative evidence,APPROVED
E543 food additive,E543,SAFE,0.0456,0.12,38,16,0.438,68.0,Low negative evidence,APROVED
Propane-1‚2-diol alginate,E405,SAFE,0.0627,0.22,126,38,0.306,59.0,Low negative evidence,APPROVED
Nitrogen,E931,WATCHLIST,0.3367,1.0,244505,89010,0.364,34.0,Moderate concerns (SSI: 33.7%),APROVED
Ferrous carbonate,E505,SAFE,0.0488,0.17,69,25,0.366,56.0,Low negative evidence,APROVED
Tertiary-butylhydroquinone (tbhq),E319,SAFE,0.0853,0.23,128,48,0.381,53.0,Low negative evidence,APPROVED
Brominated vegetable oil,E443,SAFE,0.0603,0.17,74,30,0.412,52.0,Low negative evidence,APPROVED
Scarlet GN,E125,SAFE,0.083,0.28,194,67,0.35,72.0,Low negative evidence,APROVED
Distarch phosphate,E1412,SAFE,0.0595,0.16,65,16,0.261,43.0,Low negative evidence,APPROVED
Copper complexes of chlorophylls and chlorophyllins,E141,SAFE,0.1028,0.28,199,83,0.418,71.0,Low negative evidence,APPROVED
Trisodium citrate,E331III,SAFE,0.0886,0.4,401,92,0.232,40.0,Low negative evidence,APROVED
Disodium guanylate,E627,SAFE,0.0475,0.14,48,15,0.331,62.0,Low negative evidence,APPROVED
Isobutane,E943B,SAFE,0.0705,0.42,436,77,0.178,49.0,Low negative evidence,APROVED
sodium lactate,E325,SAFE,0.1654,0.51,659,252,0.383,34.0,Low negative evidence,APPROVED
petroleum jelly,E905B,SAFE,0.0161,0.18,84,6,0.075,47.0,Low negative evidence,APROVED
Calcium phosphates,E341,RESTRICTED,0.2106,1.0,6318,1770,0.28,39.0,Moderate concerns (SSI: 21.1%),RESTRICTED
Sodium diacetate,E262II,SAFE,0.0228,0.24,139,20,0.149,28.0,Low negative evidence,APROVED
Beta-carotene from blakeslea trispora,E160AIII,SAFE,0.0714,0.19,94,64,0.691,39.0,Low negative evidence,APROVED
Azorubine,E122,SAFE,0.1033,0.32,253,88,0.351,65.0,Low negative evidence,APPROVED
Benzoic acid,E210,WATCHLIST,0.3075,1.0,8130,3037,0.374,35.0,Moderate concerns (SSI: 30.7%),APPROVED
Exxx food additive,EXXX,DANGEROUS,0.6195,1.0,191460,106408,0.556,32.0,High negative evidence,APROVED
Guaiacum,E314,SAFE,0.0862,0.21,111,55,0.497,67.0,Low negative evidence,APROVED
Sodium carboxy methyl cellulose,E466,SAFE,0.0441,0.13,45,14,0.331,77.0,Low negative evidence,APPROVED
Glycyrrhizin,E958,SAFE,0.1372,0.34,282,126,0.449,35.0,Low negative evidence,APROVED
Potassium alginate,E402,SAFE,0.0605,0.17,72,25,0.358,54.0,Low negative evidence,APPROVED
Formic acid,E236,WATCHLIST,0.2604,1.0,10918,3428,0.314,39.0,Moderate concerns (SSI: 26.0%),APPROVED
Carbonates,E502,WATCHLIST,0.222,1.0,10588,2457,0.232,40.0,Moderate concerns (SSI: 22.2%),APROVED
Glyceryl triacetate,E1518,SAFE,0.0298,0.12,36,11,0.321,29.0,Low negative evidence,APROVED
Lecithins,E322,SAFE,0.5763,0.72,1289,409,0.318,39.0,High negative evidence,APPROVED
Black iron oxide,E172I,SAFE,0.0263,0.07,11,3,0.279,67.0,Low negative evidence,APROVED
Beta-apo-8′-carotenal (c30),E160E,SAFE,0.0032,0.03,11,3,0.327,14.0,Low negative evidence,APROVED
Malvidin,E163C,SAFE,0.1294,0.53,695,227,0.327,51.0,Low negative evidence,APROVED
Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,E472F,UNKNOWN,0.0069,0.02,2,2,1.0,100.0,Insufficient research (2 papers),APROVED
Sodium ethyl p-hydroxybenzoate,E215,SAFE,0.0709,0.23,131,49,0.379,67.0,Low negative evidence,APPROVED
Monocalcium citrate,E333I,UNKNOWN,0.0,0.01,1,1,1.0,100.0,Insufficient research (1 papers),APROVED
Polyvinylpolypyrrolidone,E1202,SAFE,0.0492,0.25,159,42,0.27,49.0,Low negative evidence,APPROVED
Cochineal,E120,SAFE,0.1067,0.4,391,115,0.297,44.0,Low negative evidence,APPROVED
Potassium benzoate,E212,SAFE,0.0599,0.23,137,40,0.292,62.0,Low negative evidence,APPROVED
Oat lecithin,E322A,UNKNOWN,0.011,0.02,6,1,0.312,25.0,Insufficient research (6 papers),APROVED
Sodium carbonates,E500,SAFE,0.0471,0.18,77,26,0.341,57.0,Low negative evidence,APPROVED
Sorbitan monostearate,E491,SAFE,0.0623,0.2,97,32,0.332,39.0,Low negative evidence,APPROVED
Alginic acid,E400,SAFE,0.1153,0.43,469,122,0.261,33.0,Low negative evidence,APPROVED
Magnesium sulphate,E518,SAFE,0.1146,0.39,373,104,0.281,47.0,Low negative evidence,APROVED
Butylated hydroxyanisole (bha),E320,SAFE,0.543,0.52,677,593,0.877,23.0,High negative evidence,APPROVED
Methylphenylpolysiloxane,E900B,UNKNOWN,0.0017,0.01,2,0,0.25,0.0,Insufficient research (2 papers),APROVED
Potassium metabisulphite,E224,SAFE,0.0664,0.24,139,48,0.352,48.0,Low negative evidence,APPROVED
Gellan gum,E418,SAFE,0.1185,0.49,600,151,0.252,40.0,Low negative evidence,APPROVED
Calcium carbonate,E170I,SAFE,0.196,1.0,9624,2192,0.228,29.0,Low negative evidence,APROVED
Desconocido,E387,SAFE,0.0809,0.23,132,49,0.375,87.0,Low negative evidence,APROVED
Potassium aluminium silicate,E555,SAFE,0.0429,0.14,46,12,0.282,56.0,Low negative evidence,APPROVED
Inosinic acid,E630,WATCHLIST,0.3313,0.29,207,104,0.506,26.0,Moderate concerns (SSI: 33.1%),APPROVED
Succinic acid,E363,SAFE,0.4568,1.0,4843,2532,0.523,25.0,High negative evidence,APPROVED
iron gluconate,E579,SAFE,0.0313,0.14,47,12,0.266,53.0,Low negative evidence,APPROVED
