id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms,id_original,nombre_referencia,cluster
en:e556,E556,calcium aluminium silicate,,,17,calcium aluminium silicate,2
en:e317,E317,erythorbin acid,,,18,erythorbin acid,1
en:e142,E142,green s,,,19,green s,3
en:e1422,E1422,acetylated distarch adipate,6438196.0,106185-75-5|Sandranol|Bacdanol|6IHW4TX869|J647.437C,20,acetylated distarch adipate,2
en:e932,E932,nitrogen oxide,,,21,nitrogen oxide,2
en:e161e,E161E,violaxanthin,,,22,violaxanthin,3
en:e629,E629,calcium guanylate,,,23,calcium guanylate,2
en:e636,E636,maltol,8369.0,MALTOL|118-71-8|3-Hydroxy-2-methyl-4H-pyran-4-one|3-Hydroxy-2-methyl-4-pyrone|Larixinic acid,24,maltol,2
en:e249,E249,potassium nitrite,516910.0,"POTASSIUM NITRITE|7758-09-0|Nitrous acid, potassium salt|Potassium nitrite (1:1)|DTXSID5042320",25,potassium nitrite,0
en:e492,E492,sorbitan tristearate,17800859.0,"Sorbester P38|SCHEMBL30265060|CHEBI:185339|Sorbitan tristearate, BAN, USAN|Sorbitan tristearate [USAN:BAN:INN]",26,sorbitan tristearate,3
en:e211,E211,sodium benzoate,517055.0,"sodium benzoate|532-32-1|Sobenate|Antimol|Benzoic acid, sodium salt",27,sodium benzoate,3
en:e340,E340,potassium phosphates,,,28,potassium phosphates,0
en:e172ii,E172II,red iron oxide,,,29,red iron oxide,0
en:e440aii,E440AII,sodium pectate,,,30,sodium pectate,0
en:e140,E140,chlorophylls and chlorophyllins,,,31,chlorophylls and chlorophyllins,3
en:e1402,E1402,alkaline modified starch,,,32,alkaline modified starch,2
en:e916,E916,calcium iodate,464990.0,E916|SCHEMBL6012691|CHEMBL1173134|CHEMBL1200254|BDBM50322274,33,calcium iodate,2
en:e262i,E262I,sodium acetate,,,34,sodium acetate,0
