id,codigo_e,nombre
en:e924,E924,E924 - Potassium bromate
en:e550,E550,E550 - Sodium silicate
en:e635,E635,E635 - Disodium 5'-ribonucleotide
en:e450,E450,E450 - Diphosphates
en:e912,E912,E912 - Montanic acid esters
en:e15x,E15X,E15x - E15x food additive
en:e522,E522,E522 - Aluminium potassium sulphate
en:e422,E422,E422 - Glycerol
en:e470b,E470B,E470b - Magnesium salts of fatty acids
en:e102,E102,E102 - Tartrazine
en:e166,E166,E166 - Sandalwood
en:e332ii,E332II,E332ii - Tripotassium citrate
en:e514,E514,E514 - Sodium sulphates
en:e414,E414,E414 - Acacia gum
en:e1101,E1101,E1101 - Protease
en:e228,E228,E228 - Potassium bisulphite
en:e1203,E1203,E1203 - Polyvinyl alcohol
en:e302,E302,E302 - Calcium ascorbate
en:e150c,E150C,E150c - Ammonia caramel
en:e366,E366,E366 - Potassium fumarate
en:e905f,E905F,E905f - Mineral oil medium and low viscosity class II
en:e143,E143,E143 - Fast Green FCF
en:e105,E105,E105 - Fast Yellow AB
en:e525,E525,E525 - Potassium hydroxide
en:e297,E297,E297 - Fumaric acid
en:e541,E541,E541 - Sodium aluminium phosphate
en:e441,E441,E441 - Superglycerinated hydrogenated rapeseed oil
en:e425,E425,E425 - Konjac
en:e519,E519,E519 - Copper sulphate
en:e343,E343,E343 - Magnesium phosphates
en:e419,E419,E419 - Gum ghatti
en:e335ii,E335II,E335ii - Disodium tartrate
en:e333iii,E333III,E333iii - Tricalcium citrate
en:e586,E586,E586 - 4-hexylresorcinol
en:e967,E967,E967 - Xylitol
en:e420,E420,E420 - Sorbitol
en:e520,E520,E520 - Aluminium sulphate
en:e493,E493,E493 - Sorbitan monolaurate
en:e318,E318,E318 - Calcium erythorbin
en:e486,E486,E486 - Calcium stearoyl fumarate
en:e414a,E414A,E414a - E414a food additive
en:e100,E100,E100 - Curcumin
en:e954,E954,E954 - saccharin and its salts
en:e472b,E472B,E472b - Lactic acid esters of mono- and diglycerides of fatty acids
en:e172iii,E172III,E172iii - Yellow iron oxide
en:e391,E391,E391 - Phytic acid
en:e300,E300,E300 - Ascorbic acid
en:e161c,E161C,E161c - Cryptoaxanthin
en:e959,E959,E959 - Neohesperidine dihydrochalcone
en:e1413,E1413,E1413 - Phosphated distarch phosphate
en:e209,E209,E209 - Heptylparaben
en:e331i,E331I,E331i - Monosodium citrate
