id,codigo_e,nombre
en:e553a,E553A,E553a - synthetic magnesium silicates
en:e585,E585,E585 - Ferrous lactate
en:e485,E485,E485 - Sodium stearoyl fumarate
en:e539,E539,E539 - sodium thiosulfate
en:e440a,E440A,E440a - Pectin
en:e1403,E1403,E1403 - Bleached starch
en:e442,E442,E442 - Ammonium phosphatides
en:e163e,E163E,E163e - Peonidin
en:e542,E542,E542 - Bone phosphate
en:e160c,E160C,E160c - Paprika extract
en:e356,E356,E356 - Sodium adipate
en:e517,E517,E517 - Ammonium sulphate
en:e417,E417,E417 - Tara gum
en:e323,E323,E323 - Anoxomer
en:e301,E301,E301 - Sodium ascorbate
en:e331ii,E331II,E331ii - Disodium citrate
en:e101,E101,E101 - Riboflavin
en:e123,E123,E123 - Amaranth
en:e445,E445,E445 - Glycerol esters of wood rosin
en:e421,E421,E421 - Mannitol
en:e503,E503,E503 - Ammonium carbonates
en:e521,E521,E521 - Aluminium sodium sulphate
en:e403,E403,E403 - Ammonium alginate
en:e545,E545,E545 - Ammonium polyphosphate
en:e957,E957,E957 - Thaumatin
en:e332i,E332I,E332i - Monopotassium citrate
en:e964,E964,E964 - Polyglycitol syrup
en:e1423,E1423,E1423 - Acetylated distarch glycerol
en:e540,E540,E540 - Dicalcium diphosphate
en:e1441,E1441,E1441 - Hydroxy propyl distarch glycerine
en:e440,E440,E440 - Pectins
en:e392,E392,E392 - Extracts of rosemary
en:e101a,E101A,E101a - E101a food additive
en:e969,E969,E969 - Advantame
en:e335i,E335I,E335i - Monosodium tartrate
en:e213,E213,E213 - Calcium benzoate
en:e628,E628,E628 - Dipotassium guanylate
en:e235,E235,E235 - Natamycin
en:e553aii,E553AII,E553aii - Magnesium trisilicate
en:e465,E465,E465 - Ethyl methyl cellulose
en:e353,E353,E353 - Metatartaric acid
en:e551,E551,E551 - Silicon dioxide
en:e451,E451,E451 - Triphosphates
en:e163d,E163D,E163d - Pelargonidin
en:e153,E153,E153 - Vegetable carbon
en:e126,E126,E126 - Ponceau 6R
en:e180,E180,E180 - Litholrubine bk
en:e232,E232,E232 - Sodium orthophenyl phenol
en:e406,E406,E406 - Agar
xx:e389,E389,Desconocido
en:e462,E462,E462 - Ethyl cellulose
en:e380,E380,E380 - Triammonium citrate
en:e326,E326,E326 - potassium lactate
en:e284,E284,E284 - Boric acid
en:e477,E477,E477 - Propane-1‚2-diol esters of fatty acids
en:e577,E577,E577 - Potassium gluconate
en:e538,E538,E538 - Calcium ferrocyanide
en:e927a,E927A,E927a - Azodicarbonamide
en:e515ii,E515II,E515ii - Potassium hydrogen sulphate
en:e339,E339,E339 - Sodium phosphates
en:e911,E911,E911 - Fatty acid methyl ester
en:e965i,E965I,E965i - D-Maltitol
en:e949,E949,E949 - Hydrogen
en:e385,E385,E385 - Calcium disodium ethylenediaminetetraacetate
en:e304ii,E304II,E304ii - Ascorbyl stearate
en:e182,E182,E182 - Orcein
en:e216,E216,E216 - Propyl para-hydroxybenzoate
en:e334,E334,E334 - L(+)-tartaric acid
en:e560,E560,E560 - Potassium silicate
en:e230,E230,E230 - Biphenyl
en:e927,E927,E927 - Azodicarbonamide and Carbamide
en:e307b,E307B,E307b - concentrated tocopherol
en:e460,E460,E460 - Cellulose
en:e960b,E960B,E960b - Rebaudioside from multiple gene donors expressed in Yarrowia lipolityca
en:e944,E944,E944 - Propane
en:e160aii,E160AII,E160aii - Plant carotenes
en:e631,E631,E631 - Disodium inosinate
en:e905e,E905E,E905e - Mineral oil medium viscosity
en:e217,E217,E217 - Sodium propyl para-hydroxybenzoate
en:e926,E926,E926 - Chlorine dioxide
en:e242,E242,E242 - Dimethyl dicarbonate
en:e352ii,E352II,E352ii - Calcium hydrogen malate
en:e407a,E407A,E407a - Processed eucheuma seaweed
en:e1414,E1414,E1414 - Acetylated distarch phosphate
en:e203,E203,E203 - Calcium sorbate
en:e221,E221,E221 - Sodium sulphite
en:e553b,E553B,E553b - Talc
en:e1520,E1520,E1520 - Propylene Glycol
en:e953,E953,E953 - isomalt
en:e1207,E1207,E1207 - Anionic methacrylate copolymer
en:e620,E620,E620 - Glutamic acid
en:e494,E494,E494 - Sorbitan monooleate
